(JUMP, main, -, -)
(FUN, int, busca, -)
(ARG, valores, array_param, -)
(ARG, tamanho, param, -)
(ARG, alvo, param, -)
(LOADI, 0, -, $t0)
(STORE, $t0, i, -)
(LAB, L0, -, -)
(LOAD, i, -, $t0)
(LOAD, tamanho, -, $t1)
(BGE, $t0, $t1, L1)
(LOAD, i, -, $t0)
(LOAD, valores, $t0, $t1)
(LOAD, alvo, -, $t0)
(BNE, $t1, $t0, L2)
(LOAD, i, -, $t0)
(RET, $t0, -, -)
(JUMP, L3, -, -)
(LAB, L2, -, -)
(LAB, L3, -, -)
(LOAD, i, -, $t0)
(LOADI, 1, -, $t1)
(ADD, $t0, $t1, $t2)
(STORE, $t2, i, -)
(JUMP, L0, -, -)
(LAB, L1, -, -)
(LOAD, tamanho, -, $t0)
(RET, $t0, -, -)
(END, busca, -, -)
(FUN, void, main, -)
(LOADI, 0, -, $t0)
(STORE, $t0, i, -)
(LAB, L4, -, -)
(LOAD, i, -, $t0)
(LOADI, 5, -, $t1)
(BGE, $t0, $t1, L5)
(IN, -, -, $t0)
(LOAD, i, -, $t1)
(STORE, $t0, valores, $t1)
(LOAD, i, -, $t0)
(LOADI, 1, -, $t1)
(ADD, $t0, $t1, $t2)
(STORE, $t2, i, -)
(JUMP, L4, -, -)
(LAB, L5, -, -)
(IN, -, -, $t0)
(STORE, $t0, alvo, -)
(SAVE_CONTEXT, main, 0, -)
(LOAD, alvo, -, $t0)
(PARAM, $t0, -, -)
(LOADI, 5, -, $t0)
(PARAM, $t0, -, -)
(LOADI, 4, -, $t0)
(PARAM, $t0, -, -)
(CALL, busca, 3, $t0)
(STORE, $t0, posicao, -)
(LOAD, posicao, -, $t0)
(OUT, $t0, -, -)
(END, main, -, -)
(HALT, -, -, -)
