(JUMP, main, -, -)
(FUN, int, soma, -)
(ARG, v, array_param, -)
(ARG, i, param, -)
(LOAD, i, -, $t0)
(LOAD, v, $t0, $t1)
(LOADI, 1, -, $t0)
(ADD, $t1, $t0, $t2)
(STORE, $t2, r, -)
(LOAD, r, -, $t0)
(RET, $t0, -, -)
(END, soma, -, -)
(FUN, int, main, -)
(LOADI, 4, -, $t0)
(LOADI, 0, -, $t1)
(STORE, $t0, a, $t1)
(LOADI, 5, -, $t0)
(LOADI, 1, -, $t1)
(STORE, $t0, a, $t1)
(SAVE_CONTEXT, main, 0, -)
(LOADI, 1, -, $t0)
(PARAM, $t0, -, -)
(LOADI, 3, -, $t0)
(PARAM, $t0, -, -)
(CALL, soma, 2, $t0)
(STORE, $t0, x, -)
(LOAD, x, -, $t0)
(LOADI, 5, -, $t1)
(BLE, $t0, $t1, L0)
(LOAD, x, -, $t0)
(OUT, $t0, -, -)
(JUMP, L1, -, -)
(LAB, L0, -, -)
(LOADI, 0, -, $t0)
(LOAD, a, $t0, $t1)
(OUT, $t1, -, -)
(LAB, L1, -, -)
(END, main, -, -)
(HALT, -, -, -)
