Step    0: PC=0   | JUMP 135  # (offset=134)            | SP=63 t0=0   t1=0   t2=0   ra=0  
Step    1: PC=135 | STORE_STACK $ra                     | SP=63 t0=0   t1=0   t2=0   ra=0  
Step    2: PC=136 | ADDI $t0, $zero, 0                  | SP=62 t0=0   t1=0   t2=0   ra=0  
Step    3: PC=137 | STORE $t0, 88($zero)                | SP=62 t0=0   t1=0   t2=0   ra=0  
Step    4: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=0   t1=0   t2=0   ra=0  
Step    5: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=0   t1=0   t2=0   ra=0  
Step    6: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=0   t1=10  t2=0   ra=0  
Step    7: PC=141 | IN $t0                              | SP=62 t0=0   t1=10  t2=0   ra=0  
Step    8: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=9   t1=10  t2=0   ra=0  
Step    9: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=9   t1=0   t2=0   ra=0  
Step   10: PC=144 | ADD $at, $at, $at                   | SP=62 t0=9   t1=0   t2=0   ra=0  
Step   11: PC=145 | ADDI $at, $at, 0                    | SP=62 t0=9   t1=0   t2=0   ra=0  
Step   12: PC=146 | STORE $t0, 0($at)                   | SP=62 t0=9   t1=0   t2=0   ra=0  
Step   13: PC=147 | LOAD $t0, 88($zero)                 | SP=62 t0=9   t1=0   t2=0   ra=0  
Step   14: PC=148 | ADDI $t1, $zero, 1                  | SP=62 t0=0   t1=0   t2=0   ra=0  
Step   15: PC=149 | ADD $t2, $t0, $t1                   | SP=62 t0=0   t1=1   t2=0   ra=0  
Step   16: PC=150 | STORE $t2, 88($zero)                | SP=62 t0=0   t1=1   t2=1   ra=0  
Step   17: PC=151 | JUMP 138  # (offset=-14)            | SP=62 t0=0   t1=1   t2=1   ra=0  
Step   18: PC=138 | LOAD $t0, 88($zero)                 | SP=62 t0=0   t1=1   t2=1   ra=0  
Step   19: PC=139 | ADDI $t1, $zero, 10                 | SP=62 t0=1   t1=1   t2=1   ra=0  
Step   20: PC=140 | BGE $t0, $t1, 152  # (offset=11)    | SP=62 t0=1   t1=10  t2=1   ra=0  
Step   21: PC=141 | IN $t0                              | SP=62 t0=1   t1=10  t2=1   ra=0  
Step   22: PC=142 | LOAD $t1, 88($zero)                 | SP=62 t0=2   t1=10  t2=1   ra=0  
Step   23: PC=143 | ADD $at, $t1, $t1                   | SP=62 t0=2   t1=1   t2=1   ra=0  
